doc_id,title,source_url,dominant_topic
1,Carbon footprint - Wikipedia,https://en.wikipedia.org/wiki/Carbon_footprint,3
2,Climate change policy of the United States - Wikipedia,https://en.wikipedia.org/wiki/Climate_change_policy_of_the_United_States,1
3,Kyoto Protocol - Wikipedia,https://en.wikipedia.org/wiki/Kyoto_Protocol,2
