key_actor,category,policy_domain,mentions_in_topic,global_entity_mentions,total_docs_spanned,topic_share_percentage
"Exxon Mobil",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
Fiji,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Finland,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
G77,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
Germany,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
GOP,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"Great Britain",GPE,"Carbon Accounting & Metrics",2,2,2,100.00
Hungary,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Initiative,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
Iowa,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Ireland,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
"Joint Implementation (JI",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"Kyoto Protocol",ORG,"Carbon Accounting & Metrics",2,2,2,100.00
Liechtenstein,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Maine,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Manitoba,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Mexico,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Minnesota,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
"Multnomah County",GPE,"Carbon Accounting & Metrics",2,2,1,100.00
NEG/ECP,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
Netherlands,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
"New Zealand's",GPE,"Carbon Accounting & Metrics",2,2,1,100.00
non-Annex,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
NYSCAC,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
OECD,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
Oklahoma,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Portugal,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
"Rio de Janeiro",GPE,"Carbon Accounting & Metrics",2,2,1,100.00
RPS,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
Slovakia,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Slovenia,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
State,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
Sweden,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Thailand,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
"the Alliance of Small Island States",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the British Thermal Unit",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the California Air Resources Board",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the California Energy Commission",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"The Carbon Trust",ORG,"Carbon Accounting & Metrics",2,2,2,100.00
"the Clean Development Mechanism",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the Clean Development Mechanism (CDM",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"The Climate Change Technology Initiative",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the Constitution Party",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the European Community",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the Global Warming Solutions Act",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the Green Investment Scheme",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"The International Sustainability Standards Board",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the Libertarian Party",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the New England Governors",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the New York State Energy Research and Development Authority",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the New York Times",ORG,"Carbon Accounting & Metrics",2,2,2,100.00
"the Southwest Climate Change Initiative",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the Soviet Union",GPE,"Carbon Accounting & Metrics",2,2,1,100.00
"the Supreme Court",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"the US Senate",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"The Western Governors' Association",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"UN Comtrade",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"United Kingdom",GPE,"Carbon Accounting & Metrics",2,2,1,100.00
Virginia,GPE,"Carbon Accounting & Metrics",2,2,1,100.00
WGA,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"White House",ORG,"Carbon Accounting & Metrics",2,2,1,100.00
Willow,ORG,"Carbon Accounting & Metrics",2,2,1,100.00
"21st Century Clean Transportation Plan",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"484±20 GtC",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"AB 32",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
AB32,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Acadia Center",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Act,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Administration,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Affordable Clean Energy",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Afghanistan,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Albania,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Alberta,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
America,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"An Abrupt Climate Change Scenario",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"an International Scientific Congress on Climate Change",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Annex I Party",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
AOSIS,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Argentinian Raul Estrada",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
ARRA,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Artur Runge-Metzger",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Aruba,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Assembly,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Bahamas,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Bali,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Barbuda,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
BBC,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Beautiful Clean Coal Power Generation Fleet",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Belgium,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"below § Increase",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Benin,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Bhutan,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Biden,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Bosnia,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Botswana,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"British Columbia",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"British Thermal Unit",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
brownfield,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Brunei,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Burkina,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Byrd-Hagel Resolution",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
C2ES,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Cambodia,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Carbon Emissions in Corporations",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
CDC,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"CDM Executive Board",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Centers for Disease Control and Prevention",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Chevron,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Chinese Communist Party",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Citizens for Responsible Energy Solutions and Young Conservatives For Carbon",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Clean Air Partnership Fund",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Clean Energy Standard",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
CMP,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
CO2,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Contact Group",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
COP7,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Corporate Average Fuel Economy (",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Costa Rica",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Cuba,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Curaçao,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Dakota Access Pipelines",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Dakotas,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Delaware,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Department of War",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Diversified Energy Initiative",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Djibouti,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Dominica,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Dominican,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"East Timor",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Ecuador,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"El Salvador Equatorial",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Energy,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Energy and Climate Change",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Environmental Impact Statement (",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Environmental Quality Review",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
EQR,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Estrada,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Ethiopia European Union",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Eurostat,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Fahrenheit,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Gambia,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Gases,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"General Motors Corp.",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Georgia Germany",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
GIS,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Greece,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Green Party",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Grenada,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Guatemala,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Guinea,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Guinea Guinea-Bissau",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Haiti,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Harvard University",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Herzegovina,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
HFC,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Honduras Hungary",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Houston,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Hydroflurocarbons,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
IARU,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
ICLEI,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
ICR,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
IIJA,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"International Emissions Trading",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Iraq,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
ISO,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Israel,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Jamaica,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Jordan,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Judith Warner",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Kenya,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Kingdom,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Kiribati,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Kuwait,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Kyoto Parties",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Kyrgyzstan,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Laos,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Lawrence Berkeley National Laboratory",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Lebanon,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Lesotho,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Liberia,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Libya,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Lichtenstein,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Los Angeles",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Louisiana,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Luntz Global",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Malaysia,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Maldives,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Malta,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Marrakesh,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Mauritania,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Member States",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Methane,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Micronesia Moldova",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
MIPS,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Mississippi,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
