key_actor,category,policy_domain,mentions_in_topic,global_entity_mentions,total_docs_spanned,topic_share_percentage
"The Clean Air Partnership Fund",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Climate Action Network",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The Climate Change Action Plan",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Climate Change Advisory Group's",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The Clinton Administration",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Congo Republic",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"the Czech Republic",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"the DC Circuit Court of Appeals",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Department of Energy",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Department of Transportation's",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Eastern Climate Registry",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Electric Vehicle Request for Information",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Energy Policy and Conservation Act",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Energy Vision",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The Environmental Defense Fund",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the European Union Emission Trading Scheme",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the European Union Emissions Trading Scheme",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The Expanded Total Equivalent Warming",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Federal Aviation Administration",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Fixing America's",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The Framework Convention",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Framework Convention on Climate Change",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the GHG Protocol Life Cycle Accounting and Reporting Standard",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Global Warming Pollution Reduction Act",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Government Accountability Project",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Grenadines Samoa San Marino São Tomé",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Hague",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"the Infrastructure Investment and Jobs Act",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Intergovernmental Panel on Climate Change's Special Report on Land",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Interior Department",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the International Alliance of Research Universities",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the International Financial Reporting Standards",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Keystone XL Pipeline",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Kingdom of the Netherlands",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"the Maritime Administration",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Maryland Climate Change Commission",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Mayors Climate Protection Center",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The Mayors National Climate Action Agenda",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Montana Supreme Court",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the National Academy of Sciences",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the National Highway Traffic Safety Administration",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Nebraska Farmers Union",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the New York State Climate Action Council",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The New York Times Magazine",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Next Generation Air Transportation System",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the PEW Center on Global Climate Change",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The Renewable Energy Portfolio Standard",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the State Air Resources Board",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Sustainability Accounting Standards Board",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Task Force on Climate-Related Financial Disclosures",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Trump Administration",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The Tyndall Centre",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The U.S. Climate Change Science Program",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the U.S. Congress",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the U.S. House of Representatives",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the U.S. Senate Environment and Public Works Committee",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The UN Conference on the Environment and Development",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the UN Framework Convention on Climate Change",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the UN General Assembly",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The Union of Concerned Scientists",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the United Kingdom",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"The United Nations Climate Change Conference",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the United States Clean Air Act",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"The United States Climate Alliance",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the United States Congress",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the United States Environmental Protection Agency",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the United States Supreme Court",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the United States'",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"the University of Copenhagen",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the US Administration",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Value Reporting Foundation",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Western Coast Governors'",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Western Regional Climate Action Initiative",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Western Renewable Energy Generation Information State",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the Western States Petroleum Association",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the White House Office of Energy and Climate Change Policy",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the World Bank",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the World Economic Forum",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"the World Wildlife Fund",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Tobago,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Transportation,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Tunisia,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Turkmenistan,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Tuvalu,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Uganda,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Ukraine United Arab Emirates",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"UN Framework Convention",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
UNFCCC,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"UNFCCC Climate Change Conferences",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"United Nations Framework Convention on Climate Change",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"United States",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"United States of America",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Utah,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Venezuela,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Vermont,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Vietnam,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"WCI, Inc.",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"West Virginia",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Western Climate Initiative",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Wisconsin,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
YCCD,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Yemen,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
YouTube,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
