category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_url,proponent,protocol,registry,retired,status,clean_category
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2020-02-24 00:00:00+00:00,False,47999,,GS1247 VPA 113 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,GLD5438,https://registry.goldstandard.org/projects?q=gs5438,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,34791,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2020-02-24 00:00:00+00:00,False,48514,,GS1247 VPA 112 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,GLD5437,https://registry.goldstandard.org/projects?q=gs5437,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,25007,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2020-07-02 00:00:00+00:00,False,50792,,GS1247 VPA 104 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,GLD5344,https://registry.goldstandard.org/projects?q=gs5344,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,28987,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2020-07-02 00:00:00+00:00,False,51100,,GS1247 VPA 103 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,GLD5343,https://registry.goldstandard.org/projects?q=gs5343,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,27771,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2020-03-12 00:00:00+00:00,False,49877,,GS1247 VPA 102 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,GLD5342,https://registry.goldstandard.org/projects?q=gs5342,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,23690,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2019-10-24 00:00:00+00:00,False,57541,,GS1247 VPA 100 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,GLD5340,https://registry.goldstandard.org/projects?q=gs5340,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,18877,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2019-02-25 00:00:00+00:00,False,56587,,GS1247 VPA 99 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,GLD5339,https://registry.goldstandard.org/projects?q=gs5339,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,18076,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2019-02-25 00:00:00+00:00,False,54774,,GS1247 VPA 98 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,GLD5338,https://registry.goldstandard.org/projects?q=gs5338,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,16247,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2019-10-15 00:00:00+00:00,False,50749,,GS1247 VPA 96 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,GLD5336,https://registry.goldstandard.org/projects?q=gs5336,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,17049,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2019-10-15 00:00:00+00:00,False,54377,,GS1247 VPA 95 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,GLD5335,https://registry.goldstandard.org/projects?q=gs5335,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,34716,unknown,Energy-Efficiency
