category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_url,proponent,protocol,registry,retired,status,clean_category
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,63795,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 18,GLD11918,https://registry.goldstandard.org/projects?q=gs11918,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,66977,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 19,GLD11919,https://registry.goldstandard.org/projects?q=gs11919,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,69914,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 20,GLD11920,https://registry.goldstandard.org/projects?q=gs11920,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,44679,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 21,GLD11921,https://registry.goldstandard.org/projects?q=gs11921,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,67412,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 22,GLD11922,https://registry.goldstandard.org/projects?q=gs11922,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,70345,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 23,GLD11923,https://registry.goldstandard.org/projects?q=gs11923,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,75097,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 24,GLD11924,https://registry.goldstandard.org/projects?q=gs11924,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,5974,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 25,GLD11925,https://registry.goldstandard.org/projects?q=gs11925,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,73839,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 26,GLD11926,https://registry.goldstandard.org/projects?q=gs11926,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,48894,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 27,GLD11927,https://registry.goldstandard.org/projects?q=gs11927,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,13446,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 29,GLD11928,https://registry.goldstandard.org/projects?q=gs11928,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,32118,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 31,GLD11929,https://registry.goldstandard.org/projects?q=gs11929,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,74161,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 33,GLD11930,https://registry.goldstandard.org/projects?q=gs11930,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,73481,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 35,GLD11931,https://registry.goldstandard.org/projects?q=gs11931,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,70777,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 16,GLD11916,https://registry.goldstandard.org/projects?q=gs11916,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,73891,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 15,GLD11915,https://registry.goldstandard.org/projects?q=gs11915,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,52694,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 14,GLD11914,https://registry.goldstandard.org/projects?q=gs11914,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,63419,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 13,GLD11913,https://registry.goldstandard.org/projects?q=gs11913,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,60643,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 12,GLD11912,https://registry.goldstandard.org/projects?q=gs11912,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,54887,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 11,GLD11911,https://registry.goldstandard.org/projects?q=gs11911,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,53246,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 10,GLD11910,https://registry.goldstandard.org/projects?q=gs11910,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,46471,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 9,GLD11909,https://registry.goldstandard.org/projects?q=gs11909,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,20151,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 8,GLD11908,https://registry.goldstandard.org/projects?q=gs11908,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,46689,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 7,GLD11907,https://registry.goldstandard.org/projects?q=gs11907,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-12-06 00:00:00+00:00,,False,41492,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 6,GLD11906,https://registry.goldstandard.org/projects?q=gs11906,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,14349,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 5,GLD11905,https://registry.goldstandard.org/projects?q=gs11905,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,856,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 4,GLD11904,https://registry.goldstandard.org/projects?q=gs11904,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,15246,,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 3,GLD11903,https://registry.goldstandard.org/projects?q=gs11903,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-10-16 00:00:00+00:00,,False,5692,,GS11677 Malawi Biomass Energy Conservation Programme CPA 2,GLD11902,https://registry.goldstandard.org/projects?q=gs11902,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,GS  Biomass Energy Conservation Programme,GLD11677,https://registry.goldstandard.org/projects?q=gs11677,Hestian Innovation,"[""ams-ii-g""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,PowerUP Smart Electric Stoves for Clean Air-Malawi-VPA8,GLD11586,https://registry.goldstandard.org/projects?q=gs11586,TEECO UGANDA SMC LTD,"[""gs-metered-cookstoves""]",gold-standard,0,listed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,Clean Electric Cooking for Households in Malawi,GLD11535,https://registry.goldstandard.org/projects?q=gs11535,atmosfair gGmbH,"[""gs-metered-cookstoves""]",gold-standard,0,listed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,Livelihoods Chitetezo Mbaula Project ,GLD11471,https://registry.goldstandard.org/projects?q=gs11471,Deactivated Projects,"[""gs-tpddtec""]",gold-standard,0,listed,Energy-Efficiency
"[""renewable-energy""]",Malawi,,,False,0,,Biolite Solar Lighting Project in Malawi,GLD11397,https://registry.goldstandard.org/projects?q=gs11397,Biolite Inc,"[""ams-i-a""]",gold-standard,0,listed,Renewable-Energy
"[""energy-efficiency""]",Malawi,,,False,0,,Installation of High Efficiency Firewood Cookstoves in Malawi  ,GLD11359,https://registry.goldstandard.org/projects?q=gs11359,C-Quest Capital Stoves Asia Ltd,"[""gs-tpddtec""]",gold-standard,0,unknown,Energy-Efficiency
"[""unknown""]",Malawi,,,False,0,,UpEnergy-Social and Climate Impact Programme- Water filtration Devices VPA-10,GLD11245,https://registry.goldstandard.org/projects?q=gs11245,UpEnergy Group,"[""unknown""]",gold-standard,0,unknown,Unknown
"[""energy-efficiency""]",Malawi,,,False,0,,GS7591 VPA 47 Malawi Improved Cookstove Project,GLD11206,https://registry.goldstandard.org/projects?q=gs11206,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,Installation of High Efficiency Firewood Cookstoves in Sub-Saharan Africa,GLD11142,https://registry.goldstandard.org/projects?q=gs11142,C-Quest Capital Stoves Asia Ltd,"[""gs-tpddtec""]",gold-standard,0,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,,,False,0,,GS1247 VPA 286 Malawi Safe Water Project,GLD11067,https://registry.goldstandard.org/projects?q=gs11067,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,0,listed,Energy-Efficiency
